"Employee #","Last Name","First Name","Date","Log In","Log Out"
"10001","Garcia","Manuel III","06/03/2024","08:59:00 AM","06:31:00 PM"
"10002","Lim","Antonio","06/03/2024","10:35:00 AM","07:44:00 PM"
"10003","Aquino","Bianca Sofia","06/03/2024","10:23:00 AM","06:32:00 PM"
"10004","Reyes","Isabella","06/03/2024","10:57:00 AM","06:14:00 PM"
"10005","Hernandez","Eduard","06/03/2024","09:48:00 AM","05:13:00 PM"
"10006","Villanueva","Andrea Mae","06/03/2024","09:31:00 AM","07:29:00 PM"
"10007","San Jose","Brad","06/03/2024","09:09:00 AM","04:30:00 PM"
"10008","Romualdez","Alice","06/03/2024","09:02:00 AM","06:06:00 PM"
"10009","Atienza","Rosie","06/03/2024","08:18:00 AM","05:40:00 PM"
"10010","Alvaro","Roderick","06/03/2024","08:10:00 AM","03:13:00 PM"
"10011","Salcedo","Anthony","06/03/2024","09:08:00 AM","07:36:00 PM"
"10012","Lopez","Josie","06/03/2024","09:47:00 AM","06:43:00 PM"
"10013","Farala","Martha","06/03/2024","09:48:00 AM","07:21:00 PM"
"10014","Martinez","Leila","06/03/2024","09:23:00 AM","06:09:00 PM"
"10015","Romualdez","Fredrick","06/03/2024","08:41:00 AM","07:27:00 PM"
"10016","Mata","Christian","06/03/2024","08:41:00 AM","04:45:00 PM"
"10017","De Leon","Selena","06/03/2024","09:40:00 AM","05:24:00 PM"
"10018","San Jose","Allison","06/03/2024","08:22:00 AM","04:46:00 PM"
"10019","Rosario","Cydney","06/03/2024","09:53:00 AM","05:24:00 PM"
"10020","Bautista","Mark","06/03/2024","08:47:00 AM","04:27:00 PM"
"10021","Lazaro","Darlene","06/03/2024","09:37:00 AM","06:45:00 PM"
"10022","Delos Santos","Kolby","06/03/2024","10:54:00 AM","08:10:00 PM"
"10023","Santos","Vella","06/03/2024","10:27:00 AM","08:10:00 PM"
"10024","Del Rosario","Tomas","06/03/2024","09:16:00 AM","05:57:00 PM"
"10025","Tolentino","Jacklyn","06/03/2024","10:18:00 AM","06:07:00 PM"
