"Employee #","EmailAddress","UserName","PasswordHash","Role","Status"
"EP001","admin@motorph.com","admin","$2a$10$EsTInOvVG4UgV2DwAbBQ5ukj0L6AmMvuBvLBu0LzbO2yeokCQ25Vy","ADMIN","ACTIVE"
"EP002","hr@motorph.com","hr","$2a$10$l9RBiF1p/jUCZupsnTLnqe9ROcJ3yPgQG1Ht54NI8.btNQWf/tCXO","HR","ACTIVE"
"EP003","finance@motorph.com","finance","$2a$10$8ozf5HS1pSgWzFI8R7LuKe6E0o.D/vIGY0XLh3vPxcXNbJhCyWSJ6","FINANCE","ACTIVE"
"EP004","it@motorph.com","it","$2a$10$.1T2A6VwV3OjKwOhwYcW6ewx42iYLcDBtbpjope94YyDA9qIC09UG","IT","ACTIVE"
"10001","manueliii.garcia.10001@motorph.com","10001","$2a$10$mAXlpnX2miWRjHAizp5Ovew4mzd5lAHH7..mDlFcEIPVLeiQh7HsS","EMPLOYEE","ACTIVE"
"10002","antonio.lim.10002@motorph.com","10002","$2a$10$rM4sbLIlwwOuYtqNt2AjO.Mu.hNOlV2gBOToVJZEu.DBd17dxTjyG","EMPLOYEE","ACTIVE"
"10003","biancasofia.aquino.10003@motorph.com","10003","$2a$10$D1T7wyRh2IROqUz4zZ2PFeopBBYB42adaBC9H3FQy8yneT2eYHadK","EMPLOYEE","ACTIVE"
"10004","isabella.reyes.10004@motorph.com","10004","$2a$10$ojQ6rz22vdFPr4QIreNvoevY/Dd7hbRG8QkQfF0xvICmxBKHH4NkW","EMPLOYEE","ACTIVE"
"10005","eduard.hernandez.10005@motorph.com","10005","$2a$10$crHvveVRQtrUQqDoWmdhW.JiPzvs79uArL40CxUvXKa20whGvDs42","EMPLOYEE","ACTIVE"
"10006","andreamae.villanueva.10006@motorph.com","10006","$2a$10$QCQ/3yylZ9mw54apx4U0dO6Xng2RJFxpAUUPSNXsSEkNBM6N2PYZW","EMPLOYEE","ACTIVE"
"10007","brad.sanjose.10007@motorph.com","10007","$2a$10$tAVWBVwYY5OiP2he.zJjquXIbqk2L3W7Q1aQ.MgkLWid030WcEy3O","EMPLOYEE","ACTIVE"
"10008","alice.romualdez.10008@motorph.com","10008","$2a$10$U6rq/xS.PHcZCx1ql7V1CORsNpqO.Wp3BIKN6v44jXPYMVKIXk.k.","EMPLOYEE","ACTIVE"
"10009","rosie.atienza.10009@motorph.com","10009","$2a$10$U3/U/sg4.DK72ErZ6aZ8IuFGrrhdGiMFyj6zLrKHlHoHfrVtCYs1e","EMPLOYEE","ACTIVE"
"10010","roderick.alvaro.10010@motorph.com","10010","$2a$10$Goradpnd/a5ZdIbCkJ12DelmFuPfAFf29VmSBbYZWDdZy2bO65lWi","EMPLOYEE","ACTIVE"
"10011","anthony.salcedo.10011@motorph.com","10011","$2a$10$DEAoooGPnAnp2CDB0lVhnOqAT95RqLtCXI628EYfhxt/En7Qgvbw2","EMPLOYEE","ACTIVE"
"10012","josie.lopez.10012@motorph.com","10012","$2a$10$PDvUlWRkSxz8RrWcxKz6AebUe9sP7KdWhhNVCq3KNvrYUR0vJXLQG","EMPLOYEE","ACTIVE"
"10013","martha.farala.10013@motorph.com","10013","$2a$10$qWF9nZOrVLKTQGQDT6v2iehrrEqpHwovK8akr1Y5pkW7NVIl691IG","EMPLOYEE","ACTIVE"
"10014","leila.martinez.10014@motorph.com","10014","$2a$10$0fkZy1RUPycvgkemz1Z/U.V/ZT4sjvC03XTK5enF4prshntg9Reoe","EMPLOYEE","ACTIVE"
"10015","fredrick.romualdez.10015@motorph.com","10015","$2a$10$z/hGCeDQsjLr6vv8CliaXOFyZr7mQKuh.dr6rr0HCk5XYdUOdGe5C","EMPLOYEE","ACTIVE"
"10016","christian.mata.10016@motorph.com","10016","$2a$10$fh.JnPUed8V5JNfpmq4fi.YtYa6l6wgfMGayMLmHAx9xQeRARrI0u","EMPLOYEE","ACTIVE"
"10017","selena.deleon.10017@motorph.com","10017","$2a$10$WOUJ0FaBfubqIKaESvFpaucMWKUEwdssr6WoQ22aPFEoK24sgKlAm","EMPLOYEE","ACTIVE"
"10019","cydney.rosario.10019@motorph.com","10019","$2a$10$9BKI9yavmWJSQ.jYJYUSq.7Cf.b5Cg33Obri853fUjUIa.7xp7WCG","EMPLOYEE","ACTIVE"
"10020","mark.bautista.10020@motorph.com","10020","$2a$10$ckHi6PDKKIs3KQRpNnVpKueZbT7ajTpiJXaZXJgcR9j9xHMjmP8T2","EMPLOYEE","ACTIVE"
"10021","darlene.lazaro.10021@motorph.com","10021","$2a$10$x6XyxkYPjg9mEJemz8SAMOULPlcAF8IYjFLuIqinVA68UxF8O2Bgm","EMPLOYEE","ACTIVE"
"10022","kolby.delossantos.10022@motorph.com","10022","$2a$10$7IJ2j/73P6SP7pNFO8m/w.JA0N8NcV/eo4x0EuzfHRWG/j2pXyUDO","EMPLOYEE","ACTIVE"
